"","teams","PTS","FGM","FGA","FG","X3PM","X3PA","X3P","FTM","FTA","FT","OR","DR","REB","AST","STL","BLK","TO","PF","season","playoffs"
"19","LA Clippers",95.7,35.7,77.7,45.9,2.8,8.2,34.5,21.6,27.7,77.8,12,29.9,41.9,23.2,7.3,5.1,15.7,22.2,2005,0
"20","Houston Rockets",95.1,34.7,78.3,44.3,6.7,18.5,36.4,18.9,24.2,78.1,10.7,31.7,42.4,21.1,6.9,4.6,13.8,22,2005,1
"21","Chicago Bulls",94.5,34.7,80.4,43.2,6.2,17.5,35.7,18.7,25,75,12.2,31.6,43.8,21.3,7,4.5,16.7,24.7,2005,1
"22","Charlotte Bobcats",94.3,36.1,83.6,43.2,3.9,10.7,36.3,18.1,25.6,70.9,13.2,28.5,41.7,21.9,8.5,5.4,14.5,23.1,2005,0
"23","Memphis Grizzlies",93.4,34.2,76.5,44.7,6.5,18.1,35.7,18.6,24.7,75.4,10.8,28.1,39,20.9,8.5,5.8,14.6,23.3,2005,1
"24","Detroit Pistons",93.3,34.8,78.3,44.4,4.4,12.8,34.5,19.4,26.2,73.9,12.9,30.6,43.4,21.8,7,6.1,13.8,20,2005,1
"25","Indiana Pacers",93,32.5,75.2,43.2,6.6,19.2,34.4,21.3,26.9,79.2,10.6,29.5,40.1,18.2,7.5,4.4,14.3,23,2005,1
"26","Utah Jazz",93,34.5,76.8,44.9,3,9.3,32.8,21,27.7,75.7,12.8,27.4,40.1,22.3,6.6,4.6,15.8,26.7,2005,0
"27","Portland Trail Blazers",92.9,35.3,78.3,45.1,5.1,14.2,36.2,17.2,23.7,72.5,11.8,29.3,41.1,21,7.1,6.6,16,20.8,2005,0
"28","Atlanta Hawks",92.7,35.9,81.4,44.1,3.7,11.9,31.2,17.3,24.3,71.1,13.4,28.5,41.9,19.7,7.7,4.2,16.1,24.5,2005,0
"29","New Jersey Nets",91.4,33.6,78.3,42.9,5.3,14.7,36.2,19,24.9,76.3,10.4,29.1,39.5,21.6,7.9,3.8,14.2,24.2,2005,1
"30","New Orleans Hornets",88.4,33.1,80,41.5,5.1,16,31.5,17.1,22.3,76.6,12.4,27.8,40.2,21,6.7,3.8,14.8,23,2005,0
"31","Phoenix Suns",108.4,41.8,87.4,47.9,10.2,25.6,39.9,14.5,18,80.6,9.5,32.3,41.8,26.6,6.7,5,13.3,20.5,2006,1
"32","Seattle SuperSonics",102.6,37.5,81.8,45.8,7.4,19.9,37.1,20.1,25.7,78.5,12.4,27.2,39.6,20.7,7.6,3.7,14.7,23.6,2006,0
